iter	Passed	Remaining
0	149	149215
1	154	76946
2	158	52565
3	161	40199
4	164	32786
5	168	27859
6	172	24449
7	179	22245
8	184	20271
9	189	18754
10	194	17480
11	200	16497
12	204	15551
13	209	14721
14	213	14011
15	217	13355
16	220	12737
17	224	12244
18	228	11810
19	232	11375
20	235	10973
21	238	10599
22	242	10281
23	245	9993
24	248	9694
25	251	9425
26	254	9187
27	259	8991
28	261	8771
29	264	8561
30	267	8359
31	270	8190
32	273	8019
33	277	7870
34	279	7714
35	283	7578
36	285	7442
37	289	7320
38	291	7194
39	295	7081
40	297	6970
41	300	6864
42	303	6762
43	306	6661
44	309	6570
45	312	6479
46	315	6399
47	318	6312
48	321	6239
49	324	6160
50	327	6089
51	330	6021
52	333	5958
53	336	5890
54	339	5828
55	342	5766
56	344	5704
57	348	5652
58	350	5595
59	354	5547
60	356	5492
61	360	5449
62	363	5405
63	366	5366
64	369	5321
65	373	5281
66	376	5237
67	379	5198
68	382	5157
69	385	5119
70	388	5085
71	391	5049
72	395	5018
73	398	4986
74	402	4958
75	405	4925
76	408	4891
77	411	4861
78	414	4831
79	417	4804
80	421	4781
81	424	4757
82	428	4728
83	431	4706
84	435	4683
85	438	4658
86	441	4632
87	444	4605
88	447	4583
89	450	4558
90	453	4533
91	456	4509
92	460	4487
93	463	4464
94	466	4445
95	469	4420
96	472	4401
97	475	4378
98	478	4358
99	481	4335
100	484	4315
101	487	4292
102	490	4272
103	493	4250
104	496	4229
105	499	4208
106	501	4187
107	505	4172
108	508	4154
109	511	4135
110	514	4116
111	517	4101
112	520	4087
113	523	4071
114	527	4056
115	530	4042
116	534	4031
117	537	4017
118	540	4001
119	543	3987
120	547	3974
121	550	3962
122	553	3946
123	556	3931
124	559	3917
125	562	3901
126	565	3889
127	568	3873
128	571	3861
129	574	3847
130	578	3835
131	581	3820
132	584	3809
133	587	3795
134	590	3782
135	593	3771
136	596	3759
137	599	3747
138	603	3735
139	606	3723
140	609	3713
141	612	3703
142	616	3693
143	619	3684
144	623	3674
145	626	3662
146	629	3652
147	632	3643
148	635	3631
149	639	3623
150	642	3614
151	646	3605
152	649	3594
153	653	3588
154	656	3580
155	659	3570
156	663	3563
157	666	3554
158	670	3546
159	673	3535
160	677	3528
161	680	3518
162	683	3512
163	687	3503
164	690	3496
165	694	3486
166	697	3479
167	700	3471
168	704	3464
169	707	3456
170	711	3449
171	715	3442
172	718	3435
173	722	3428
174	725	3418
175	728	3412
176	732	3404
177	735	3397
178	738	3389
179	742	3383
180	746	3376
181	749	3368
182	753	3362
183	756	3355
184	760	3348
185	763	3340
186	766	3333
187	770	3327
188	773	3320
189	777	3314
190	780	3307
191	784	3301
192	787	3294
193	791	3286
194	794	3278
195	797	3269
196	800	3262
197	804	3257
198	807	3249
199	810	3243
200	814	3239
201	817	3231
202	821	3225
203	824	3217
204	827	3210
205	830	3202
206	833	3194
207	837	3187
208	840	3179
209	843	3172
210	846	3166
211	850	3159
212	853	3152
213	856	3146
214	859	3139
215	862	3132
216	865	3123
217	868	3116
218	871	3108
219	874	3102
220	877	3093
221	880	3087
222	883	3079
223	887	3073
224	889	3065
225	892	3058
